Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
IAU(464285105),ISHARES GOLD TRUST ISHARES ISIN #US4642851053 SEDOL B0SF3S5,0.10,11/11/20,11/12/20,$1.73 ,$1.73 ,$0.00 ,-
IAU(464285105),ISHARES GOLD TRUST ISHARES ISIN #US4642851053 SEDOL B0SF3S5,6.00,09/23/2020,10/26/2020,$109.20 ,$107.03 ,$2.17 ,-
ITW(452308109),ILLINOIS TOOL WORKS INC COM USD0.01,0.73,11/03/20,11/04/20,$151.79 ,$149.81 ,$1.98 ,-
JPM(46625H100),JPMORGAN CHASE & CO,2.00,10/29/2020,11/04/20,$202.95 ,$192.56 ,$10.39 ,-
JPM(46625H100),JPMORGAN CHASE & CO,0.08,10/29/2020,11/04/20,$7.80 ,$7.41 ,$0.39 ,-
KMX(143130102),CARMAX INC,1.00,09/25/2020,11/04/20,$93.39 ,$93.54 ,($0.15),-
,,,,Wash Sale,$0.00 ,($0.14),$0.14 ,-
KMX(143130102),CARMAX INC,0.07,09/25/2020,11/04/20,$6.44 ,$6.46 ,($0.02),-
KMX(143130102),CARMAX INC,1.00,10/01/20,11/04/20,$93.39 ,$91.70 ,$1.69 ,-
KMX(143130102),CARMAX INC,0.93,10/20/2020,11/04/20,$86.96 ,$85.61 ,$1.35 ,-
KMX(143130102),CARMAX INC,0.07,09/25/2020,11/04/20,$6.44 ,$6.35 ,$0.09 ,-
KMX(143130102),CARMAX INC,0.85,09/25/2020,11/04/20,$79.37 ,$75.12 ,$4.25 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,32.00,11/20/2020,11/23/2020,$466.58 ,$396.48 ,$70.10 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,0.28,11/20/2020,11/23/2020,$4.13 ,$3.51 ,$0.62 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,8.00,11/20/2020,11/23/2020,$116.64 ,$96.78 ,$19.86 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,0.27,11/20/2020,11/23/2020,$3.88 ,$3.22 ,$0.66 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,8.00,11/20/2020,11/23/2020,$116.64 ,$96.20 ,$20.44 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,0.32,11/20/2020,11/23/2020,$4.59 ,$3.79 ,$0.80 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,8.00,11/20/2020,11/23/2020,$116.64 ,$94.54 ,$22.10 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,0.46,11/20/2020,11/23/2020,$6.74 ,$5.46 ,$1.28 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,8.00,11/20/2020,11/23/2020,$116.64 ,$94.70 ,$21.94 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,0.45,11/20/2020,11/23/2020,$6.52 ,$5.29 ,$1.23 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,8.00,11/20/2020,11/23/2020,$116.64 ,$94.32 ,$22.32 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,0.48,11/20/2020,11/23/2020,$7.00 ,$5.67 ,$1.33 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,7.75,11/20/2020,11/23/2020,$112.96 ,$91.65 ,$21.31 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,0.25,11/20/2020,11/23/2020,$3.68 ,$2.99 ,$0.69 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,0.45,11/20/2020,11/23/2020,$6.60 ,$5.36 ,$1.24 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,17.00,09/23/2020,11/04/20,$135.82 ,$98.26 ,$37.56 ,-
KNDI(483709101),KANDI TECHNOLOGIES GROUP INC,4.00,09/24/2020,11/04/20,$31.96 ,$21.27 ,$10.69 ,-
LI(50202M102),LI AUTO INC SPN ADS ECH REP 2 ORD SHS CLA,6.00,11/17/2020,11/23/2020,$255.83 ,$214.53 ,$41.30 ,-
LI(50202M102),LI AUTO INC SPN ADS ECH REP 2 ORD SHS CLA,0.99,11/17/2020,11/23/2020,$42.28 ,$35.47 ,$6.81 ,-
LI(50202M102),LI AUTO INC SPN ADS ECH REP 2 ORD SHS CLA,6.00,09/23/2020,11/04/20,$158.27 ,$99.03 ,$59.24 ,-
LI(50202M102),LI AUTO INC SPN ADS ECH REP 2 ORD SHS CLA,1.00,09/24/2020,11/04/20,$26.38 ,$15.67 ,$10.71 ,-
LPG(Y2106R110),DORIAN LPG LIMITED COM USD0.01,0.01,09/29/2020,11/04/20,$0.06 ,$0.05 ,$0.01 ,-
LPG(Y2106R110),DORIAN LPG LIMITED COM USD0.01,13.00,09/29/2020,10/01/20,$104.26 ,$99.94 ,$4.32 ,-
LUV(844741108),SOUTHWEST AIRLINES CO,1.00,06/12/20,10/27/2020,$40.00 ,$36.40 ,$3.60 ,-
MRNA(60770K107),MODERNA INC COM,2.00,10/29/2020,11/04/20,$139.61 ,$136.28 ,$3.33 ,-
MRNA(60770K107),MODERNA INC COM,0.94,10/29/2020,11/04/20,$65.26 ,$63.71 ,$1.55 ,-
MSFT(594918104),MICROSOFT CORP,0.48,09/29/2020,11/04/20,$103.97 ,$99.99 ,$3.98 ,-
MSFT(594918104),MICROSOFT CORP,0.52,10/28/2020,11/04/20,$113.55 ,$106.87 ,$6.68 ,-
MSFT(594918104),MICROSOFT CORP,0.21,10/28/2020,11/04/20,$45.67 ,$43.00 ,$2.67 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,10.00,11/17/2020,11/23/2020,$549.69 ,$479.90 ,$69.79 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,0.42,11/17/2020,11/23/2020,$22.98 ,$20.06 ,$2.92 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,5.00,11/17/2020,11/23/2020,$274.84 ,$234.95 ,$39.89 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,5.00,11/18/2020,11/23/2020,$274.84 ,$217.80 ,$57.04 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,0.58,11/18/2020,11/23/2020,$31.99 ,$25.35 ,$6.64 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,0.16,11/18/2020,11/23/2020,$8.62 ,$6.84 ,$1.78 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,6.00,09/23/2020,11/04/20,$231.26 ,$112.72 ,$118.54 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,5.00,10/14/2020,11/04/20,$192.72 ,$132.05 ,$60.67 ,-
NIO(62914V106),NIO INC SPON ADS EACH REP 1 ORD SHS CLASS A,5.00,10/22/2020,11/04/20,$192.71 ,$137.90 ,$54.81 ,-
NKLA(654110105),NIKOLA CORP COM,10.00,10/28/2020,11/04/20,$187.39 ,$197.90 ,($10.51),-
,,,,Wash Sale,$0.00 ,($0.64),$0.64 ,-
NKLA(654110105),NIKOLA CORP COM,0.11,10/28/2020,11/04/20,$1.99 ,$2.10 ,($0.11),-
NKLA(654110105),NIKOLA CORP COM,4.89,10/30/2020,11/04/20,$91.71 ,$88.92 ,$2.79 ,-
NKLA(654110105),NIKOLA CORP COM,0.11,10/28/2020,11/04/20,$1.98 ,$2.04 ,($0.06),-
NKLA(654110105),NIKOLA CORP COM,0.50,10/28/2020,11/04/20,$9.42 ,$9.68 ,($0.26),-
NMR(65535H208),NOMURA HOLDINGS ADR REPTG ONE ORD,0.57,09/30/2020,11/04/20,$2.70 ,$2.63 ,$0.07 ,-
NMR(65535H208),NOMURA HOLDINGS ADR REPTG ONE ORD,43.00,09/30/2020,10/27/2020,$200.59 ,$197.37 ,$3.22 ,-
NVAX(670002401),NOVAVAX INC COM NEW,1.00,09/28/2020,11/04/20,$85.69 ,$110.44 ,($24.75),-
,,,,Wash Sale,$0.00 ,($16.31),$16.31 ,-
NVAX(670002401),NOVAVAX INC COM NEW,1.00,10/21/2020,11/04/20,$85.69 ,$93.87 ,($8.18),-
NVAX(670002401),NOVAVAX INC COM NEW,0.84,10/27/2020,11/04/20,$71.72 ,$74.92 ,($3.20),-
NVAX(670002401),NOVAVAX INC COM NEW,1.00,10/29/2020,11/04/20,$85.69 ,$82.33 ,$3.36 ,-
NVAX(670002401),NOVAVAX INC COM NEW,0.16,10/29/2020,11/04/20,$13.95 ,$13.41 ,$0.54 ,-
NVAX(670002401),NOVAVAX INC COM NEW,0.66,09/28/2020,11/04/20,$56.43 ,$70.55 ,($14.12),-
NVDA(67066G104),NVIDIA CORPORATION COM,0.57,09/29/2020,11/04/20,$314.09 ,$300.00 ,$14.09 ,-
NVDA(67066G104),NVIDIA CORPORATION COM,0.37,10/22/2020,11/04/20,$205.36 ,$199.69 ,$5.67 ,-
NVDA(67066G104),NVIDIA CORPORATION COM,0.05,10/30/2020,11/04/20,$29.65 ,$26.84 ,$2.81 ,-
NVDA(67066G104),NVIDIA CORPORATION COM,0.15,10/30/2020,11/04/20,$80.66 ,$73.05 ,$7.61 ,-
PAYC(70432V102),PAYCOM SOFTWARE INC COM USD0.01,0.18,08/04/20,11/04/20,$69.08 ,$49.81 ,$19.27 ,-
PDD(722304102),PINDUODUO INC SPON ADS EACH REP 4 ORD SHS,1.00,11/17/2020,11/23/2020,$142.79 ,$133.59 ,$9.20 ,-
PDD(722304102),PINDUODUO INC SPON ADS EACH REP 4 ORD SHS,0.87,11/17/2020,11/23/2020,$124.35 ,$116.39 ,$7.96 ,-
PDD(722304102),PINDUODUO INC SPON ADS EACH REP 4 ORD SHS,1.00,09/23/2020,10/29/2020,$96.17 ,$78.23 ,$17.94 ,-
PDD(722304102),PINDUODUO INC SPON ADS EACH REP 4 ORD SHS,0.96,09/29/2020,10/29/2020,$92.31 ,$69.97 ,$22.34 ,-
PFE(717081103),PFIZER INC,2.00,07/21/2020,10/27/2020,$76.18 ,$73.54 ,$2.64 ,-
PFE(717081103),PFIZER INC,0.72,07/21/2020,10/27/2020,$27.37 ,$26.44 ,$0.93 ,-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,0.72,11/12/20,11/17/2020,$12.36 ,$10.87 ,$1.49 ,-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,32.00,11/12/20,11/12/20,$477.75 ,$488.93 ,($11.18),-
,,,,Wash Sale,$0.00 ,($0.25),$0.25 ,-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,0.72,11/12/20,11/12/20,$10.81 ,$11.06 ,($0.25),-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,32.00,11/12/20,11/12/20,$477.75 ,$478.40 ,($0.65),-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,31.28,11/12/20,11/12/20,$466.93 ,$458.82 ,$8.11 ,-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,0.55,09/30/2020,10/01/20,$5.08 ,$5.20 ,($0.12),-
,,,,Wash Sale,$0.00 ,($0.12),$0.12 ,-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,0.55,09/30/2020,10/01/20,$5.09 ,$5.32 ,($0.23),-
PLTR(69608A108),PALANTIR TECHNOLOGIES INC CL A,9.45,09/30/2020,10/01/20,$87.75 ,$89.60 ,($1.85),-
PLUG(72919P202),PLUG POWER INC,22.00,11/17/2020,11/23/2020,$590.08 ,$499.62 ,$90.46 ,-
PLUG(72919P202),PLUG POWER INC,0.02,11/17/2020,11/23/2020,$0.43 ,$0.36 ,$0.07 ,-
